,nome_munic,doseunica,primeiradose,segundadose,terceiradose,pop
304,MIRACATU,403,16053,12698,1078,19934
305,MIRA ESTRELA,53,2523,2367,394,2939
306,MINEIROS DO TIETÊ,310,9477,8393,893,12597
307,MIGUELÓPOLIS,631,16437,14227,1429,21424
308,MESÓPOLIS,37,1737,1470,291,1893
309,MERIDIANO,90,3511,2988,410,3739
310,MENDONÇA,121,5109,4518,578,5043
311,MAUÁ,12920,325888,265254,22935,460132
312,MATÃO,2233,69001,58958,5929,80020
313,MARTINÓPOLIS,548,21521,18832,1947,25668
314,MARINÓPOLIS,40,1641,1524,197,2097
315,MARÍLIA,4456,193738,158553,17781,231554
316,MARIÁPOLIS,109,2923,2760,352,3975
317,MARAPOAMA,71,2653,2468,285,2906
318,MARACAÍ,283,10927,9338,980,13521
319,MARABÁ PAULISTA,59,4335,3823,306,4931
320,MANDURI,246,8138,7358,823,9525
321,MAIRIPORÃ,2423,72979,59434,5062,98622
322,MAIRINQUE,1201,44119,32523,2008,46323
323,MAGDA,65,2688,2466,338,3088
324,MACEDÔNIA,80,3225,2999,388,3574
